IMAGES_CACHE_LCL,IMAGES_CACHE_PRV,FILTER_CACHE_LCL,FILTER_CACHE_PRV,OUT_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WG_4_OCL_DIM,WG_5_OCL_DIM,WG_6_OCL_DIM,WG_7_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,WI_4_OCL_DIM,WI_5_OCL_DIM,WI_6_OCL_DIM,WI_7_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,INPUT_SIZE_4,WG_4,GLB_4,WI_4,LCL_4,PRV_4,INPUT_SIZE_5,WG_5,GLB_5,WI_5,LCL_5,PRV_5,INPUT_SIZE_6,WG_6,GLB_6,WI_6,LCL_6,PRV_6,INPUT_SIZE_7,WG_7,GLB_7,WI_7,LCL_7,PRV_7,runtime,Valid,timestamp
0,1,1,1,1,1,2,3,4,6,5,0,0,1,5,4,6,3,2,16,1,2,1,8,1,64,64,1,1,1,1,112,1,14,4,2,1,112,28,4,1,1,1,3,1,1,1,1,3,7,1,7,1,1,1,7,1,7,1,1,1,6289408,True,1503
0,1,1,0,0,1,2,4,3,6,0,5,6,0,2,1,4,3,5,16,2,4,2,1,1,64,64,1,1,1,1,112,28,2,1,2,1,112,4,4,7,1,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,3569664,True,2929
1,0,0,1,0,0,6,1,5,3,2,4,6,3,4,2,0,1,5,16,16,1,1,1,1,64,64,1,1,1,1,112,8,14,1,1,1,112,28,1,1,4,1,3,1,1,1,1,3,7,1,1,1,7,1,7,1,7,1,1,1,25050112,True,4762
1,0,1,1,1,5,3,1,0,6,4,2,6,5,3,4,2,0,1,16,8,2,1,1,1,64,32,1,2,1,1,112,1,4,28,1,1,112,28,2,1,1,2,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,7,1,1295360,True,6174
0,1,0,0,1,4,3,6,5,2,0,1,6,3,5,2,1,4,0,16,2,8,1,1,1,64,8,1,1,1,8,112,8,2,1,1,7,112,56,2,1,1,1,3,1,1,1,1,3,7,1,1,1,1,7,7,1,7,1,1,1,338260992,True,11005
0,1,1,1,1,5,6,4,3,0,1,2,6,3,1,4,5,2,0,16,2,8,1,1,1,64,1,2,32,1,1,112,8,2,7,1,1,112,28,4,1,1,1,3,1,1,1,3,1,7,1,1,1,7,1,7,1,7,1,1,1,2276352,True,12506
1,0,0,0,0,1,3,4,0,2,5,6,2,3,6,0,4,1,5,16,16,1,1,1,1,64,8,1,1,8,1,112,56,1,2,1,1,112,4,4,1,1,7,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,7,1,64986116,True,14508
1,1,1,1,0,4,6,3,0,2,5,1,0,3,5,2,1,4,6,16,2,2,1,4,1,64,4,4,2,1,2,112,8,7,2,1,1,112,112,1,1,1,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,7,1,1,1,247518208,True,18090
0,0,1,1,0,4,6,2,3,1,0,5,2,0,6,3,4,5,1,16,4,4,1,1,1,64,16,4,1,1,1,112,4,7,1,2,2,112,4,1,1,14,2,3,1,3,1,1,1,7,1,1,1,7,1,7,1,1,1,1,7,195565568,True,21287
1,1,0,1,0,5,0,1,4,3,6,2,2,6,0,4,5,3,1,16,16,1,1,1,1,64,1,2,32,1,1,112,14,8,1,1,1,112,1,8,7,2,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,7,1,1,1,12650496,True,22697
0,0,1,0,1,4,3,5,0,2,6,1,0,1,4,2,5,6,3,16,16,1,1,1,1,64,64,1,1,1,1,112,14,4,1,1,2,112,16,1,1,7,1,3,1,1,1,1,3,7,1,7,1,1,1,7,1,7,1,1,1,19911680,True,24366
1,1,0,1,1,2,6,3,5,0,1,4,5,4,0,2,6,3,1,16,2,8,1,1,1,64,8,1,8,1,1,112,4,7,2,1,2,112,56,2,1,1,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,7,1,1,1,15922176,True,25923
