IMAGES_CACHE_LCL,IMAGES_CACHE_PRV,FILTER_CACHE_LCL,FILTER_CACHE_PRV,OUT_CACHE_PRV,WG_1_OCL_DIM,WG_2_OCL_DIM,WG_3_OCL_DIM,WG_4_OCL_DIM,WG_5_OCL_DIM,WG_6_OCL_DIM,WG_7_OCL_DIM,WI_1_OCL_DIM,WI_2_OCL_DIM,WI_3_OCL_DIM,WI_4_OCL_DIM,WI_5_OCL_DIM,WI_6_OCL_DIM,WI_7_OCL_DIM,INPUT_SIZE_1,WG_1,GLB_1,WI_1,LCL_1,PRV_1,INPUT_SIZE_2,WG_2,GLB_2,WI_2,LCL_2,PRV_2,INPUT_SIZE_3,WG_3,GLB_3,WI_3,LCL_3,PRV_3,INPUT_SIZE_4,WG_4,GLB_4,WI_4,LCL_4,PRV_4,INPUT_SIZE_5,WG_5,GLB_5,WI_5,LCL_5,PRV_5,INPUT_SIZE_6,WG_6,GLB_6,WI_6,LCL_6,PRV_6,INPUT_SIZE_7,WG_7,GLB_7,WI_7,LCL_7,PRV_7,runtime,Valid,timestamp
1,1,0,0,0,6,3,2,1,4,5,0,3,0,6,1,4,2,5,16,2,8,1,1,1,64,32,1,1,2,1,112,4,2,7,1,2,112,2,4,2,1,7,3,1,1,1,3,1,7,1,7,1,1,1,7,1,7,1,1,1,24458240,True,1763
0,1,1,0,0,1,0,3,6,4,5,2,3,1,5,6,4,2,0,16,16,1,1,1,1,64,16,2,1,1,2,112,28,4,1,1,1,112,14,8,1,1,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,1,1,7,1,146851840,True,4419
0,1,0,0,0,1,6,3,0,4,5,2,1,4,6,2,3,5,0,16,2,4,1,1,2,64,16,2,2,1,1,112,4,28,1,1,1,112,7,16,1,1,1,3,1,3,1,1,1,7,1,7,1,1,1,7,1,1,1,7,1,62241792,True,6319
1,0,1,0,0,3,2,0,5,4,1,6,2,1,6,5,0,3,4,16,8,2,1,1,1,64,32,2,1,1,1,112,2,56,1,1,1,112,16,1,7,1,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,1,1,1,7,72998912,True,8247
0,1,0,1,1,0,4,5,6,1,3,2,4,6,5,2,1,0,3,16,8,2,1,1,1,64,32,2,1,1,1,112,4,7,2,1,2,112,2,14,1,2,2,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,6074368,True,9635
1,0,0,0,0,4,5,3,0,1,2,6,4,5,3,6,0,2,1,16,2,1,4,2,1,64,4,4,2,1,2,112,112,1,1,1,1,112,112,1,1,1,1,3,1,3,1,1,1,7,1,1,1,7,1,7,1,1,1,1,7,102809600,True,11947
1,1,0,1,0,5,1,4,3,2,0,6,2,6,3,5,4,1,0,16,16,1,1,1,1,64,1,4,4,2,2,112,1,28,1,2,2,112,28,4,1,1,1,3,1,1,1,1,3,7,1,1,1,7,1,7,1,1,1,1,7,60414976,True,13998
1,0,1,1,1,1,4,2,3,5,6,0,3,2,5,1,0,4,6,16,1,2,4,1,2,64,1,1,8,2,4,112,2,14,1,4,1,112,16,1,1,1,7,3,1,3,1,1,1,7,1,1,1,7,1,7,1,7,1,1,1,154447872,True,17520
1,0,1,0,1,2,0,5,3,4,1,6,0,5,4,6,2,1,3,16,16,1,1,1,1,64,1,4,1,2,8,112,112,1,1,1,1,112,4,2,2,7,1,3,1,1,1,3,1,7,1,7,1,1,1,7,1,7,1,1,1,28639232,True,19309
0,1,1,0,0,3,5,1,6,2,4,0,0,3,6,1,4,2,5,16,1,2,8,1,1,64,64,1,1,1,1,112,56,1,1,2,1,112,56,1,2,1,1,3,1,3,1,1,1,7,1,1,1,1,7,7,1,7,1,1,1,8337408,True,20723
